id,source_text,summary_a,summary_b,summary_c,topic
rank_001,"EZB erhöht Leitzins auf 4,5% wegen 5,3% Inflation","Präzise: EZB hebt Zins auf 4,5% - zehnte Erhöhung seit 2022 wegen hoher Inflation.","Kurz: EZB macht Zins höher. Inflation ist schuld.","Komplex: Die monetäre Autorität adjustiert den Referenzzinssatz.",Wirtschaft
rank_002,"Stanford: mRNA-Therapie zeigt 78% Erfolg bei Bauchspeicheldrüsenkrebs","Präzise: Neue mRNA-Therapie erreicht 78% Erfolgsrate bei Pankreaskrebs.","Kurz: Krebs kann jetzt geheilt werden mit mRNA.","Komplex: Onkologische Innovation demonstriert signifikante Ansprechrate.",Medizin
rank_003,"Bundestag beschließt Klimaneutralität bis 2040, Kohleausstieg 2030","Präzise: Neues Klimagesetz: Deutschland klimaneutral bis 2040, Kohle-Ende 2030.","Kurz: Klimagesetz ist da. Kohle wird verboten.","Komplex: Legislative ratifiziert dekarbonisierte Energiepolitik.",Politik
rank_004,"Apple iPhone 16: A18 Chip 40% schneller, 108MP Kamera, ab 1199€","Präzise: iPhone 16 mit A18-Chip (+40%), 108MP-Kamera und KI-Features ab 1199€.","Kurz: Neues iPhone ist schneller und hat bessere Kamera.","Komplex: Das Smartphone inkorporiert einen proprietären Prozessor.",Technologie
rank_005,"WHO: 20% der Jugendlichen leiden an psychischen Störungen","Präzise: WHO-Studie: Jeder 5. Jugendliche hat psychische Probleme durch Social Media.","Kurz: Viele Jugendliche sind psychisch krank wegen Handy.","Komplex: Epidemiologische Prävalenz adoleszenter psychischer Morbidität.",Gesundheit
rank_006,"Bayern gewinnt Champions League 2:1 gegen City, Kane mit Doppelpack","Präzise: Bayern München holt CL-Titel: 2:1 vs City, Kane trifft zweimal.","Kurz: Bayern hat gewonnen. Kane hat Tore gemacht.","Komplex: Der Klub triumphiert im europäischen Klubfußball-Wettbewerb.",Sport
rank_007,"VW streicht 30.000 Stellen in Deutschland bis 2028 wegen E-Auto-Umbau","Präzise: VW baut 30.000 Jobs in DE ab bis 2028 wegen Elektro-Transformation.","Kurz: VW macht Fabriken zu. Leute werden arbeitslos.","Komplex: Der Automobilkonzern avisiert substantiellen Personalabbau.",Wirtschaft
rank_008,"Harvard züchtet erstes funktionsfähiges Herz aus Stammzellen in 8 Wochen","Präzise: Labor-Herz aus Stammzellen in 8 Wochen - könnte Organmangel lösen.","Kurz: Herz aus Labor gemacht. Hat 8 Wochen gedauert.","Komplex: Regenerative Medizin realisiert kardiale Organogenese ex vivo.",Medizin
rank_009,"Deutsche Inflation sinkt auf 2,1% - niedrigster Stand seit 3 Jahren","Präzise: Inflation bei 2,1% dank fallender Energiepreise, Lebensmittel noch teuer.","Kurz: Inflation ist runter. Essen ist aber noch teuer.","Komplex: Teuerungsrate retrahiert auf ein Triennium-Minimum.",Wirtschaft
rank_010,"SpaceX startet erste bemannte Mars-Mission mit 4 Astronauten","Präzise: SpaceX schickt 4 Astronauten zum Mars - Ankunft in 6 Monaten geplant.","Kurz: Menschen fliegen zum Mars. Dauert 6 Monate.","Komplex: Die inaugurale bemannte Expedition zum roten Planeten initiiert.",Raumfahrt
rank_011,"Bundesregierung: Alle Behördengänge bis 2027 online, 5 Mrd für 5G","Präzise: Digitalpaket: Online-Behörden bis 2027, Recht auf 100 Mbit/s Internet.","Kurz: Deutschland will digitaler werden. Ämter gehen online.","Komplex: Administration verabschiedet komprehensives Digitalisierungspaket.",Politik
rank_012,"Erdbeben Stärke 7,8 in Izmir: 200 Tote, THW-Hilfe unterwegs","Präzise: Schweres Beben in Izmir: 200 Tote, 1000+ Verletzte, internationale Hilfe läuft.","Kurz: Erdbeben in Türkei. Viele Menschen gestorben.","Komplex: Seismisches Ereignis devastiert die türkische Metropole.",Katastrophen
rank_013,"Netflix beendet Passwort-Sharing weltweit, Extra-Nutzer kosten 4,99€","Präzise: Netflix stoppt Account-Sharing: Zusätzliche Nutzer zahlen 4,99€/Monat.","Kurz: Netflix verbietet Passwort teilen. Kostet jetzt extra.","Komplex: Streaming-Dienst implementiert restriktive Account-Regularien.",Technologie
rank_014,"Neue Pyramide bei Sakkara entdeckt, zeigt unbekannten Pharao","Präzise: Archäologen finden unbekannte Pyramide mit Bildern von Pharao Menkauhor II.","Kurz: Neue Pyramide gefunden. Hat Bilder von altem König.","Komplex: Präzedenzlose archäologische Entdeckung in der Nekropole.",Geschichte
rank_015,"WHO erklärt Mpox erneut zum Gesundheitsnotstand, 15 Länder betroffen","Präzise: Mpox-Notstand: Neuer Stamm in 15 Ländern, 3% Sterblichkeit, Impfstoffmangel.","Kurz: Affenpocken sind gefährlich. Impfstoff reicht nicht.","Komplex: WHO deklariert pathogene Bedrohung als internationalen Notfall.",Gesundheit
